Team Name,Home,Average Home Score,Average Away Score,Difference
i-Mask Advance Squash Club 14,Cornwall Street (CSPSC),4.285714285714286,3.2857142857142856,1.0
Dragonfly,Wai Tsuen (WTSC),4.555555555555555,3.888888888888889,0.6666666666666665
Kinetic 7,Kwun Chung (KCSC),4.375,3.75,0.625
Fung King 4,Tai Wo Hau (TWHSC),2.5555555555555554,2.0,0.5555555555555554
Citra Squash Team,Kwun Chung (KCSC),2.375,1.875,0.5
CPS,Cornwall Street (CSPSC),1.2857142857142858,0.8571428571428571,0.4285714285714287
Vitality Squash 2,HK Squash Centre (HKSC),1.7142857142857142,1.2857142857142858,0.4285714285714284
Dr. Squash 3,HK Squash Centre (HKSC),1.625,1.625,0.0
Friend Club 9,Pei Ho Street (PHSSC),1.0,1.2222222222222223,-0.22222222222222232
The Zero Squash Club 4,Cornwall Street (CSPSC),2.857142857142857,3.142857142857143,-0.2857142857142856
