Team Name,Home,Average Home Score,Average Away Score,Difference
Flash,Cornwall Street (CSPSC),2.625,1.75,0.875
Hong Kong Cricket Club 6,Hong Kong Cricket Club (HKCC),3.272727272727273,2.6363636363636362,0.6363636363636367
Banbil,HK Squash Centre (HKSC),2.0,1.4444444444444444,0.5555555555555556
Studio Pro,Java Road (JRSC),2.5454545454545454,2.0,0.5454545454545454
Hong Kong Football Club 11,Hong Kong Football Club (HKFC),2.4545454545454546,2.090909090909091,0.36363636363636376
Kinetic 3,HK Squash Centre (HKSC),1.7777777777777777,1.5555555555555556,0.2222222222222221
Head Shatin 4,Cornwall Street (CSPSC),4.25,4.25,0.0
i-MASK Advance Squash Club 7,Cornwall Street (CSPSC),2.5,2.5,0.0
HKU 2,Kwun Chung (KCSC),2.909090909090909,3.0,-0.09090909090909083
Los Galacticos,HK Squash Centre (HKSC),1.0,1.2222222222222223,-0.22222222222222232
Star River 2,Cornwall Street (CSPSC),1.75,2.0,-0.25
Perrier Sergio Tacchini KCC 7,Kowloon Cricket Club (KCC),3.727272727272727,4.0,-0.27272727272727293
