Team Name,Home,Average Home Score,Average Away Score,Difference
Hong Kong Football Club 7,Hong Kong Football Club (HKFC),3.3333333333333335,2.111111111111111,1.2222222222222223
Yuen Long Squash Club,Yau Oi (YOSC),2.6666666666666665,1.5,1.1666666666666665
Friend Club 4,Cornwall Street (CSPSC),3.5,3.0,0.5
Giant 3,Pei Ho Street (PHSSC),2.0,1.5555555555555556,0.4444444444444444
GS 1,Cornwall Street (CSPSC),4.333333333333333,4.0,0.33333333333333304
WSC NOSET,HK Squash Centre (HKSC),1.1428571428571428,0.8333333333333334,0.3095238095238094
The Zero Squash Club 1,Cornwall Street (CSPSC),3.142857142857143,2.857142857142857,0.2857142857142856
Graduated,HK Squash Centre (HKSC),0.8571428571428571,0.7142857142857143,0.1428571428571428
Spirit 2,HK Squash Centre (HKSC),3.857142857142857,4.0,-0.1428571428571428
i-Mask Advance Squash Club 5,Cornwall Street (CSPSC),2.4,3.0,-0.6000000000000001
