Team Name,Home,Average Home Score,Average Away Score,Difference
i-Mask Advance Squash Club 13,Cornwall Street (CSPSC),4.0,2.7142857142857144,1.2857142857142856
Spirit 4,HK Squash Centre (HKSC),3.3333333333333335,2.375,0.9583333333333335
CSD,Kwun Chung (KCSC),1.1111111111111112,0.2857142857142857,0.8253968253968255
Dr. Squash 2,Cornwall Street (CSPSC),2.0,1.2857142857142858,0.7142857142857142
Relay 2,Yuen Long Jockey Club (YLJCSC),2.0,1.375,0.625
Yuen Long JR 2,Yuen Long Jockey Club (YLJCSC),4.0,3.375,0.625
Giant 4,Pei Ho Street (PHSSC),3.3333333333333335,3.111111111111111,0.22222222222222232
Fung King 3,Wai Tsuen (WTSC),2.6666666666666665,2.4444444444444446,0.22222222222222188
Head Shatin 6,Cornwall Street (CSPSC),2.0,2.3333333333333335,-0.3333333333333335
Kwai Tsing District Squah Club 3,Cornwall Street (CSPSC),2.1666666666666665,3.5,-1.3333333333333335
