Team Name,Home,Average Home Score,Average Away Score,Difference
i-MASK Advance Squash Club 1,Cornwall Street (CSPSC),3.75,2.5,1.25
Hong Kong Football Club 4,Hong Kong Football Club (HKFC),2.7777777777777777,2.111111111111111,0.6666666666666665
Head Shatin 1,Cornwall Street (CSPSC),2.0,1.5,0.5
United Services Recreation Club 2,United Services Recreation Club (USRC),3.0,2.6666666666666665,0.3333333333333335
Hong Kong Cricket Club 2,Hong Kong Cricket Club (HKCC),2.7777777777777777,2.4444444444444446,0.33333333333333304
That's 1,Cornwall Street (CSPSC),3.25,3.25,0.0
i-MASK Advance Squash Club 2,Cornwall Street (CSPSC),1.0,1.0,0.0
Perrier Sergio Tacchini KCC 3,Kowloon Cricket Club (KCC),3.888888888888889,4.111111111111111,-0.22222222222222188
Hong Kong Fire Services 1,Cornwall Street (CSPSC),0.0,0.25,-0.25
Giant 1,Cornwall Street (CSPSC),1.25,1.75,-0.5
