Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,15,13,2,69,56,19,0,7,0,0
Royal Hong Kong Yacht Club Div 12,15,11,4,65,54,21,0,0,0,1
Physical Chess 4,14,10,4,56,46,24,0,6,0,0
Sha Tin 5,14,10,4,53,43,27,0,6,0,1
Winter Warriors,14,10,4,52,43,27,0,2,1,0
Global Squash 2,14,8,6,46,38,32,0,0,0,0
Hong Kong Football Club 12A,15,7,8,40,33,42,1,7,0,0
Hong Kong Football Club 12B,15,6,9,35,29,46,0,4,0,0
SKCSC Div 12,15,3,12,26,23,52,0,4,0,0
CSD Squash Team,15,1,14,20,20,55,28,0,1,0
Latecomers,14,1,13,14,15,55,12,5,0,0
