Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,14,13,1,65,52,18,0,2,0,0
Hong Kong Football Club 7B,15,11,4,64,53,22,0,1,0,0
i-Mask Advance Squash Club 1,15,9,6,53,44,31,1,1,0,0
Hong Kong Football Club 7A,15,10,5,52,42,33,0,1,0,0
Hong Kong Cricket Club D7B,15,6,9,41,35,40,0,1,0,0
UST,14,8,6,40,35,35,1,1,3,0
Hong Kong Cricket Club D7A,14,6,8,39,33,37,1,2,0,4
Thunder 1,15,6,9,38,32,43,0,3,0,0
Xavier,14,5,9,34,29,41,8,0,0,0
Social Squash Team,14,5,9,30,25,45,1,0,0,0
Kinetic 1,15,1,14,20,20,55,1,1,1,0
