Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,16,13,3,73,60,20,0,0,0,0
WAKO,16,12,4,64,52,28,0,1,0,0
Hong Kong Football Club M4A,16,11,5,60,49,31,0,0,0,0
Hong Kong Football Club M4B,16,9,7,54,45,35,0,2,0,0
Kowloon Cricket Club M4,15,9,6,51,42,33,0,0,0,0
Hong Kong Cricket Club M4,16,9,7,50,41,39,0,0,0,0
United Services Recreation Club M4,15,6,9,48,42,33,1,0,0,0
Bolton,16,4,12,31,27,53,2,0,0,0
Hong Kong Club Blue,16,3,13,24,21,59,0,0,0,0
Royal Hong Kong Yacht Club M4,16,3,13,19,16,64,0,0,0,0
