Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,16,14,2,82,68,12,0,1,0,0
Twister,16,13,3,70,57,23,0,0,0,0
Centre Squash,16,12,4,61,49,31,0,2,0,0
Hong Kong Football Club 9,16,10,6,58,48,32,0,0,0,0
i-Mask Advance Squash Club 3,16,10,6,51,41,39,1,0,0,0
The Hong Kong Jockey Club Div 9,16,8,8,44,36,44,1,0,0,0
Kowloon Cricket Club 9,16,5,11,34,29,51,5,0,0,0
HKPF Squash Team,16,3,13,34,31,49,2,7,0,0
Kinetic 3,16,4,12,28,24,56,0,0,0,0
BOSS,16,1,15,18,17,63,1,0,0,0
