Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 4,16,13,3,75,62,18,1,9,0,1
Royal Hong Kong Yacht Club Div 14,16,13,3,73,60,20,0,2,0,0
North District Sports Association 2,16,12,4,68,56,24,0,7,0,0
Physical Chess 5,16,11,5,63,52,28,0,10,0,0
8 Virtues + 1,16,9,7,52,44,36,5,1,1,5
TKO Junior 1,16,9,7,50,41,39,0,2,0,0
RELAY 2,16,7,9,45,39,41,2,14,1,2
Hong Kong Football Club 14,16,8,8,43,35,45,14,1,0,1
Ladies Recreation Club Div 14,16,4,12,32,29,51,3,4,1,1
TNG 3,15,6,9,27,32,43,1,0,7,0
Squash-On,16,3,13,23,20,60,18,0,0,1
Fusion Squash Club 4,15,0,15,4,5,70,7,1,1,0
