Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
JESSICA L3,12,9,3,40,32,16,0,6,1,0
Hong Kong Football Club L3B,13,8,5,38,30,22,6,0,0,1
Hong Kong Cricket Club L3,13,8,5,37,29,23,2,5,0,0
Hong Kong Football Club L3A,13,3,10,24,21,31,5,4,0,0
Hong Kong Football Club L3C,13,4,9,20,16,36,4,2,0,0
