Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,"Heng Ashton, Tin Charlotte Pui Lam (6)",Tin Charlotte Pui Lam (6),Tin Charlotte Pui Lam (100.0%)
Fusion Squash Club 4,Liu Riley (6),"Liu Riley, Wang Philbert (0)","Liu Riley, Wang Philbert (0.0%)"
Hong Kong Football Club 14,"Wan Damien, Laracy William (7)",Han Julian O (5),Han Julian O (83.3%)
Ladies Recreation Club Div 14,"Chen Peak Julian, Lui-Schwille Tristan Alexander Yifeng (6)",Lui-Schwille Tristan Alexander Yifeng (4),Lui-Schwille Tristan Alexander Yifeng (66.7%)
North District Sports Association 2,"Fung Yau On, Ng Ho Lam, Tsang Man Chiu (7)","Fung Yau On, Ng Ho Lam, Tsang Man Chiu (5)","Fung Yau On, Ng Ho Lam, Tsang Man Chiu (71.4%)"
Physical Chess 5,Fung Tin Lok (5),Fung Tin Lok (4),Fung Tin Lok (80.0%)
RELAY 2,"Chung Yui On Jake, Cheng Nic (5)",Chung Yui On Jake (4),Chung Yui On Jake (80.0%)
Royal Hong Kong Yacht Club Div 14,"Oei Chuen Shek Joseph, Lai Ming Wah (6)",Oei Chuen Shek Joseph (6),Oei Chuen Shek Joseph (100.0%)
Squash-On,Lau Hayden (6),Lau Hayden (3),Lau Hayden (50.0%)
TKO Junior 1,Ng Koon Chow (6),Ng Koon Chow (5),Ng Koon Chow (83.3%)
TNG 3,Ho Yiu Hei (5),Ho Yiu Hei (2),Ho Yiu Hei (40.0%)
The Squash Club 4,Chung Tsam Yee (6),Chung Tsam Yee (6),Chung Tsam Yee (100.0%)
