Team,Most Games,Most Wins,Highest Win Percentage
Bolton,"Wright Martin, Gollop Stephen (5)",Wright Martin (2),Wright Martin (40.0%)
Hong Kong Club Blue,McLennan Justin (5),McLennan Justin (2),McLennan Justin (40.0%)
Hong Kong Cricket Club M4,Bernard Edwin (7),"Poole-Wilson Michael, Bernard Edwin (4)",Poole-Wilson Michael (66.7%)
Hong Kong Football Club M4A,"Chow Kar Wah, Murray David (5)",Murray David (4),Murray David (80.0%)
Hong Kong Football Club M4B,"Dansanghani Rahul, Chan Dave Chi Keung (5)",Dansanghani Rahul (4),Dansanghani Rahul (80.0%)
Kowloon Cricket Club M4,Tsang Wai Kit Paul (6),Choy Yuk Kwong Donnie (5),Choy Yuk Kwong Donnie (100.0%)
Royal Hong Kong Yacht Club M4,"Tse Ray, Leung Chi Wang Christopher, Oei Chuen Shek Joseph (5)","Tse Ray, Oei Chuen Shek Joseph (2)","Tse Ray, Oei Chuen Shek Joseph (40.0%)"
SKCSC M4,Mong Hoi Ching Norman (7),Mong Hoi Ching Norman (5),Mong Hoi Ching Norman (71.4%)
United Services Recreation Club M4,"Lai Kwok Wai Wilfred, Yu Chi Keung (7)",Yam Ken Luen Kai (4),Yam Ken Luen Kai (80.0%)
WAKO,Mok Sui Kei (7),Mok Sui Kei (7),Mok Sui Kei (100.0%)
