Team,Most Games,Most Wins,Highest Win Percentage
BOSS,Wong Michael (7),Luk Raymond Yiu Fai (5),Luk Raymond Yiu Fai (100.0%)
Centre Squash,Bedouillat Vincent (5),Bedouillat Vincent (2),Bedouillat Vincent (40.0%)
HKPF Squash Team,"Ko Toby Ho Yin, Leung Man Wah (7)",Ko Toby Ho Yin (4),Ko Toby Ho Yin (57.1%)
Hong Kong Football Club 9,"Kirpalani Shaun, Lee Lawrence Chi Hung (6)","Kirpalani Shaun, Lee Lawrence Chi Hung (4)","Kirpalani Shaun, Lee Lawrence Chi Hung (66.7%)"
Kinetic 3,Tang Keng Io (6),"Tang Keng Io, To Felix Ka Hei (1)",To Felix Ka Hei (20.0%)
Kowloon Cricket Club 9,Osmund Ronnie (7),"Lee Wai Hang, Osmund Ronnie (5)",Lee Wai Hang (83.3%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (6),Lee Dennis Yuk Kai (3),Lee Dennis Yuk Kai (50.0%)
The Squash Club 2,Poon Ho Kar James (7),Poon Ho Kar James (7),Poon Ho Kar James (100.0%)
Twister,Wong Ken Tat Tai (6),Chan Sze Long (5),Chan Sze Long (100.0%)
i-Mask Advance Squash Club 3,"Chan Ho Yu, Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (7)",Chan Ho Yu (5),Chan Ho Yu (71.4%)
