Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
TNG 1,v,TNG 2,Cornwall Street Squash Centre,19:00,"2-3(1-3,3-1,2-3,1-3,3-1)",1,04/10/2024
Royal Hong Kong Yacht Club Div 13,v,Greenfield,Royal Hong Kong Yacht Club,19:00,"2-3(0-3,1-3,3-2,0-3,3-0)",1,04/10/2024
Arctic Circle,v,North District Sports Association 2,Cornwall Street Squash Centre,19:00,"2-3(3-0,0-3,2-3,2-3,3-1)",1,04/10/2024
Vitality Squash 3,v,M&M Squash,HK Squash Centre,19:00,"2-3(1-3,1-3,3-0,1-3,3-0)",1,04/10/2024
Physical Chess 4,v,Squashathon PLZ,Cornwall Street Squash Centre,19:00,"2-3(0-3,1-3,3-2,3-0,2-3)",1,04/10/2024
Star River 3,v,Bravo D13,Cornwall Street Squash Centre,19:00,"1-4(0-3,0-3,1-3,2-3,3-0)",1,04/10/2024
Star River 3,v,Physical Chess 4,Kwun Chung Sports Centre,19:00,"3-2(3-1,3-0,0-3,3-1,0-3)",2,18/10/2024
Squashathon PLZ,v,TNG 1,Cornwall Street Squash Centre,19:00,"2-3(1-3,3-2,3-0,0-3,1-3)",2,18/10/2024
Vitality Squash 3,v,TNG 2,HK Squash Centre,19:00,"0-5(0-3,0-3,1-3,0-3,CR)",2,18/10/2024
M&M Squash,v,Arctic Circle,HK Squash Centre,19:00,"1-4(1-3,1-3,0-3,3-2,0-3)",2,18/10/2024
Royal Hong Kong Yacht Club Div 13,v,North District Sports Association 2,Royal Hong Kong Yacht Club,19:00,"3-2(3-1,3-0,0-3,3-0,0-3)",2,18/10/2024
Bravo D13,v,Greenfield,Yuen Long Jockey Club Squash Courts,19:00,"1-4(3-0,0-3,0-3,0-3,CR)",2,18/10/2024
North District Sports Association 2,v,Greenfield,Pei Ho Street Sports Centre,19:00,"1-4(1-3,0-3,2-3,3-0,1-3)",3,25/10/2024
Royal Hong Kong Yacht Club Div 13,v,M&M Squash,Royal Hong Kong Yacht Club,19:00,"4-1(0-3,3-0,3-0,3-0,3-0)",3,25/10/2024
Arctic Circle,v,TNG 2,Cornwall Street Squash Centre,19:00,"1-4(3-1,0-3,0-3,0-3,0-3)",3,25/10/2024
Vitality Squash 3,v,Squashathon PLZ,HK Squash Centre,19:00,"1-4(2-3,0-3,3-0,CR,CR)",3,25/10/2024
TNG 1,v,Star River 3,Cornwall Street Squash Centre,19:00,"3-2(3-0,3-1,2-3,0-3,3-0)",3,25/10/2024
Bravo D13,v,Physical Chess 4,Yuen Long Jockey Club Squash Courts,19:00,"3-2(3-0,0-3,0-3,CR,CR)",3,25/10/2024
Physical Chess 4,v,TNG 1,Cornwall Street Squash Centre,19:00,"1-4(0-3,1-3,0-3,3-0,CR)",4,01/11/2024
Vitality Squash 3,v,Star River 3,Java Road Sports Centre,19:00,"4-1(3-0,3-2,1-3,3-0,3-0)",4,01/11/2024
Arctic Circle,v,Squashathon PLZ,Pei Ho Street Sports Centre,19:00,"3-2(3-1,0-3,0-3,3-1,3-1)",4,01/11/2024
