Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club L3A,100.0,100.0,60.0,33.33333333333333,73.33333333333333,18
Hong Kong Football Club L3B,60.0,80.0,40.0,60.0,60.0,20
JESSICA Smashin' Mochi,22.22222222222222,33.33333333333333,66.66666666666666,77.77777777777779,50.0,36
Hong Kong Cricket Club Rockettes,28.57142857142857,28.57142857142857,57.14285714285714,57.14285714285714,42.857142857142854,28
Hong Kong Football Club L3C,57.14285714285714,42.857142857142854,14.285714285714285,28.57142857142857,35.71428571428571,28
Physical Chess Ladies,83.33333333333334,0.0,20.0,25.0,32.083333333333336,21
The Squash Club Ladies,0.0,0.0,12.5,0.0,3.125,30
