Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,5,4,1,21,17,8,0,1,0,0
TNG 2,5,4,1,20,16,9,3,1,0,0
Greenfield,5,4,1,20,16,9,0,1,0,0
Royal Hong Kong Yacht Club Div 13,5,4,1,20,16,9,0,3,0,0
North District Sports Association 2,5,3,2,16,13,12,0,0,0,0
Arctic Circle,5,3,2,16,13,12,0,0,0,0
Squashathon PLZ,5,2,3,15,13,12,0,2,0,0
Vitality Squash 3,5,2,3,12,10,15,4,0,0,0
Bravo D13,5,2,3,12,10,15,1,2,0,0
Star River 3,5,1,4,10,9,16,0,0,0,0
M&M Squash,5,1,4,9,8,17,0,0,0,0
Physical Chess 4,5,0,5,9,9,16,3,1,0,0
