Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Vitality Squash 2,15.0,35.0,10.0,55.0,16.66666666666667,26.333333333333336
i-Mask Advance Squash Club 8,-25.0,25.0,41.66666666666667,16.66666666666667,33.33333333333333,18.333333333333336
Happy Squash 3,29.166666666666657,-16.66666666666667,37.5,12.5,-16.66666666666667,9.166666666666664
Friend Club 6,0.0,16.666666666666664,16.666666666666664,8.333333333333329,0.0,8.333333333333332
Smart Squash 2,-9.523809523809526,7.142857142857146,0.0,60.0,-25.0,6.523809523809518
i-Mask Advance Squash Club 7,0.0,-33.333333333333336,40.0,25.0,0.0,6.333333333333332
Fusion Squash Club 2,40.0,-5.0,20.0,-25.0,-8.333333333333343,4.333333333333329
X-Alpha 4,0.0,-14.285714285714292,14.285714285714292,0.0,0.0,-1.4210854715202004e-14
