Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,12,9,3,51,42,18,0,0,0,0
Hong Kong Football Club M4A,12,9,3,48,39,21,0,0,0,0
WAKO,12,9,3,48,39,21,0,0,0,0
Hong Kong Football Club M4B,12,7,5,40,33,27,0,2,0,0
Hong Kong Cricket Club M4,12,7,5,39,32,28,0,0,0,0
Kowloon Cricket Club M4,12,6,6,37,31,29,0,0,0,0
United Services Recreation Club M4,12,4,8,36,32,28,0,0,0,0
Hong Kong Club Blue,12,3,9,22,19,41,0,0,0,0
Bolton,12,3,9,22,19,41,2,0,0,0
Royal Hong Kong Yacht Club M4,12,3,9,17,14,46,0,0,0,0
