Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,11,11,0,64,53,2,0,1,0,0
RELAY 1,11,9,2,50,41,14,0,1,0,0
Thunder 2,11,8,3,40,32,23,0,1,0,0
Kwai Tsing District Squash Club,11,6,5,36,30,25,0,0,0,0
Banbil,11,6,5,35,29,26,3,0,0,0
Hong Kong Cricket Club D10,11,6,5,35,29,26,0,1,0,0
United Services Recreation Club 3,11,5,6,32,27,28,0,0,0,0
Squashathon Advance,11,4,7,21,17,38,0,0,0,0
i-Mask Advance Squash Club 4,11,2,9,18,16,39,1,0,0,0
Mercury,10,2,8,18,16,34,0,0,0,0
Bravo D10,11,1,10,11,10,45,1,1,0,0
