Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 14,12,10,2,58,48,12,0,1,0,0
The Squash Club 4,12,9,3,52,43,17,1,5,0,1
North District Sports Association 2,12,9,3,51,42,18,0,7,0,0
Physical Chess 5,12,9,3,49,40,20,0,0,0,0
8 Virtues + 1,12,7,5,40,34,26,3,1,1,5
RELAY 2,12,6,6,36,30,30,1,14,0,0
TKO Junior 1,12,6,6,34,28,32,0,0,0,0
Hong Kong Football Club 14,12,6,6,33,27,33,8,0,0,0
TNG 3,12,5,7,23,26,34,1,0,5,0
Squash-On,12,3,9,21,18,42,8,0,0,1
Ladies Recreation Club Div 14,12,2,10,21,20,40,3,1,1,1
Fusion Squash Club 4,12,0,12,3,4,56,5,1,1,0
