Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,12,11,1,65,54,6,0,1,0,0
Twister,12,9,3,49,40,20,0,0,0,0
Hong Kong Football Club 9,12,8,4,45,37,23,0,0,0,0
Centre Squash,12,8,4,41,33,27,0,2,0,0
The Hong Kong Jockey Club Div 9,12,7,5,37,30,30,0,0,0,0
i-Mask Advance Squash Club 3,12,7,5,36,29,31,0,0,0,0
Kowloon Cricket Club 9,12,5,7,32,27,33,0,0,0,0
Kinetic 3,12,3,9,21,18,42,0,0,0,0
HKPF Squash Team,12,1,11,19,18,42,2,0,0,0
BOSS,12,1,11,15,14,46,1,0,0,0
