Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1A,10,8,2,29,21,9,0,1,0,0
Hong Kong Football Club M1B,9,7,2,26,19,8,0,1,0,0
Hong Kong Cricket Club M1A,10,4,6,20,16,14,1,1,0,0
Hong Kong Cricket Club M1B,10,3,7,14,11,19,5,1,0,0
Squashathon M+,9,2,7,7,5,22,0,2,0,0
