Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 12,11,8,3,49,41,14,0,0,0,1
Physical Chess 4,11,9,2,47,38,17,0,6,0,0
Star River 1,10,8,2,43,35,15,0,4,0,0
Sha Tin 5,10,8,2,40,32,18,0,6,0,1
Winter Warriors,10,6,4,34,29,21,0,2,1,0
Global Squash 2,11,6,5,34,28,27,0,0,0,0
Hong Kong Football Club 12A,11,5,6,30,25,30,1,3,0,0
Hong Kong Football Club 12B,11,5,6,29,24,31,0,4,0,0
SKCSC Div 12,11,2,9,18,16,39,0,2,0,0
CSD Squash Team,11,1,10,15,15,40,21,0,1,0
Latecomers,11,1,10,13,12,43,10,5,0,0
