Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,12,11,1,60,49,11,0,8,0,0
Hong Kong Football Club 6A,12,8,4,44,36,24,0,5,0,0
Uncles,12,8,4,44,36,24,0,1,0,0
Kowloon Cricket Club 6A,12,8,4,43,35,25,2,1,0,0
Hong Kong Football Club 6B,12,7,5,39,32,28,0,0,0,0
Hong Kong Football Club 6C,12,7,5,36,29,31,0,1,0,0
Ladies Recreation Club Div 6,12,6,6,32,26,34,1,4,0,0
Fusion Squash Club 1,12,5,7,31,26,34,15,0,0,0
Hong Kong Cricket Club D6,12,3,9,27,24,36,0,4,0,0
Global Squash 1,12,2,10,25,23,37,0,0,0,0
Electrify Squash Div 6,12,4,8,24,23,37,9,3,3,0
X-Alpha 3,12,3,9,24,21,39,0,0,0,3
