Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,11,11,0,54,43,12,0,2,0,0
Hong Kong Football Club 7B,11,7,4,45,38,17,0,1,0,0
Hong Kong Football Club 7A,11,9,2,42,33,22,0,1,0,0
Thunder 1,11,6,5,33,27,28,0,3,0,0
i-Mask Advance Squash Club 1,11,5,6,32,27,28,1,1,0,0
Hong Kong Cricket Club D7A,11,5,6,31,26,29,1,2,0,1
UST,10,5,5,30,25,25,1,1,0,0
Xavier,11,4,7,29,25,30,8,0,0,0
Hong Kong Cricket Club D7B,11,3,8,25,22,33,0,1,0,0
Social Squash Team,11,4,7,23,19,36,1,0,0,0
Kinetic 1,11,1,10,15,15,40,1,1,1,0
