Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
i-Mask Advance Squash Club 5,11,10,1,48,38,17,0,0,0,0
The Zero Squash Club D11,11,9,2,47,38,17,0,0,0,0
Electrify Squash Div 11,11,8,3,43,35,20,0,0,0,0
7NT,11,8,3,40,32,23,0,1,0,0
Alpha CUHK,11,8,3,38,31,24,0,2,0,0
GMDBB,10,7,3,37,30,20,0,0,0,0
South China Athletic Association,11,4,7,28,24,31,0,0,0,0
ZOMA,11,2,9,21,19,36,1,0,0,0
Sea Bear,10,2,8,20,18,32,1,0,0,0
Tuen Mun Squash Club,11,1,10,17,16,39,0,0,0,0
Invader Squash,10,1,9,15,14,36,1,0,0,0
