Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,11,9,2,35,26,7
Hong Kong Football Club M1A,11,8,3,29,21,12
Hong Kong Cricket Club M1B,11,6,5,23,17,16
Hong Kong Cricket Club M1A,12,3,9,15,12,24
Ladies Recreation Club M1,11,2,9,10,8,25
