Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Electrify Squash Div 15,14,13,1,71,58,12
RELAY 2,14,10,4,59,49,21
Squash-On,14,10,4,53,43,26
TNG 3,14,7,7,37,32,38
Squashathon MeGa,14,6,7,36,30,37
Fusion Squash Club 3,14,5,9,35,30,40
i-Mask Advance Squash Club 6,14,3,11,23,20,50
Serve - Ivors,14,1,12,9,14,52
