Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
X-Alpha 1,14,14,0,76,62,8
Kowloon Cricket Club 4,14,10,4,55,45,25
Hong Kong Football Club 4A,14,8,6,47,39,31
Hong Kong Football Club 4B,14,8,6,46,38,32
United Services Recreation Club 1,13,5,8,38,33,32
NEXUS 2,14,5,9,32,27,43
Hong Kong Cricket Club 3,14,4,10,28,24,46
Sha Tin 2,13,1,12,8,7,58
