Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Electrify Squash Div 15,16,15,1,80,65,15
RELAY 2,17,13,4,75,62,23
Squash-On,17,11,6,62,51,33
Squashathon MeGa,17,7,9,44,37,45
Fusion Squash Club 3,17,6,11,41,35,50
TNG 3,17,7,10,39,34,51
i-Mask Advance Squash Club 6,17,6,11,39,33,52
Serve - Ivors,16,1,14,4,14,62
