Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,19,19,0,108,89,6,0,6,0,0
RELAY 1,18,14,4,78,64,26,0,3,0,0
Thunder 2,18,13,5,69,56,34,0,1,0,0
Hong Kong Cricket Club D10,18,11,7,62,51,39,1,2,0,0
United Services Recreation Club 3,19,10,9,60,50,45,0,0,0,0
Kwai Tsing District Squash Club,18,9,9,58,49,41,0,1,0,0
Banbil,18,10,8,56,46,44,8,0,0,0
Mercury,18,4,14,28,24,66,2,0,0,0
i-Mask Advance Squash Club 4,18,3,15,28,25,65,3,0,0,0
Squashathon Advance,18,4,14,27,23,67,1,0,0,0
Bravo D10,18,3,15,25,23,67,1,3,0,0
