Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Star River 1,19,17,2,89,72,23,0,9,0,0
Royal Hong Kong Yacht Club Div 12,18,14,4,80,66,24,0,3,0,2
Physical Chess 4,18,13,5,76,63,27,0,6,0,2
Winter Warriors,18,12,6,65,54,36,1,3,1,0
Sha Tin 5,18,12,6,62,51,39,0,9,0,1
Global Squash 2,18,10,8,57,47,43,0,0,0,0
Hong Kong Football Club 12A,18,8,10,46,38,52,2,7,0,0
Hong Kong Football Club 12B,18,7,11,39,32,58,1,4,0,2
SKCSC Div 12,18,5,13,39,34,56,0,5,0,0
CSD Squash Team,19,1,18,19,24,71,32,0,6,0
Latecomers,18,2,16,17,19,71,15,5,0,0
