Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,18,16,2,81,65,25,0,7,0,0
Hong Kong Football Club 7B,18,13,5,76,63,27,0,1,0,0
i-Mask Advance Squash Club 1,19,12,7,68,56,39,1,1,0,0
Hong Kong Football Club 7A,18,12,6,64,52,38,0,1,0,0
UST,18,10,8,52,45,45,1,1,3,0
Hong Kong Cricket Club D7B,18,7,11,49,42,48,0,6,0,0
Hong Kong Cricket Club D7A,18,7,11,48,41,49,1,2,0,4
Thunder 1,18,7,11,46,39,51,0,3,0,0
Xavier,18,7,11,46,39,51,13,2,0,0
Social Squash Team,18,7,11,38,31,59,8,1,0,0
Kinetic 1,19,2,17,28,27,68,2,1,1,0
