Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,3,3,0,17,14,1,0,1,0,0
Sha Tin 6,3,3,0,16,13,2,0,1,0,0
Fusion Squash Club 2,3,3,0,14,11,4,0,0,0,0
X-Alpha 5,3,2,1,11,9,6,0,0,0,0
Energy Squash Club 1,3,2,1,10,8,7,1,2,0,0
SocGen Squash,3,1,2,10,9,6,2,0,0,0
i-Mask Advance Squash Club 5,3,1,2,7,6,9,0,2,0,0
HKIS Div 13,3,1,2,7,6,9,5,0,0,0
Energy Squash Club 2,3,1,2,7,6,9,2,0,0,0
Yuen Long District Sports Association Limited,3,1,2,6,5,10,0,3,0,0
Kinetic 4,3,0,3,2,2,13,0,1,0,0
Happy Squash 4,3,0,3,1,1,14,0,0,0,0
