Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6
Kowloon Cricket Club 1A,10,5.833833833833834,4.166166166166166,22.98998998998999,88.38838838838839,35.63563563563564,24.824824824824827,15.515515515515515,12.412412412412413,8.208208208208207,3.4034034034034035
Hong Kong Cricket Club 1,10,5.678678678678678,4.321321321321322,21.55055055055055,80.28028028028027,24.524524524524523,21.92192192192192,17.81781781781782,16.016016016016017,13.613613613613614,6.106106106106106
Hong Kong Football Club 1A,10,5.632632632632633,4.367367367367367,21.4014014014014,81.58158158158159,22.52252252252252,20.42042042042042,21.52152152152152,17.117117117117118,11.21121121121121,7.207207207207207
Hong Kong Football Club 1B,10,4.405405405405405,5.594594594594595,18.69069069069069,55.75575575575576,8.108108108108109,12.512512512512513,16.116116116116117,19.01901901901902,22.722722722722725,21.52152152152152
FWD,10,4.382382382382382,5.617617617617618,18.596596596596598,56.95695695695696,5.505505505505505,13.613613613613614,17.117117117117118,20.72072072072072,20.22022022022022,22.822822822822822
Kowloon Cricket Club 1B,10,4.067067067067067,5.932932932932933,16.77077077077077,37.03703703703704,3.7037037037037033,6.706706706706707,11.911911911911911,14.714714714714713,24.024024024024023,38.93893893893894
