Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Hong Kong Football Club M4A,60.0,90.0,70.0,50.0,60.0,66.0,50
SKCSC M4,90.0,50.0,50.0,60.0,70.0,64.0,50
WAKO,70.0,40.0,50.0,80.0,70.0,62.0,50
Hong Kong Football Club M4B,40.0,70.0,80.0,70.0,30.0,58.0,50
Hong Kong Cricket Club M4,60.0,50.0,70.0,50.0,40.0,54.0,50
Kowloon Cricket Club M4,40.0,80.0,70.0,50.0,30.0,54.0,50
United Services Recreation Club M4,50.0,30.0,50.0,60.0,70.0,52.0,50
Hong Kong Club Blue,10.0,20.0,40.0,50.0,60.0,36.0,50
Bolton,60.0,30.0,0.0,20.0,30.0,28.0,50
Royal Hong Kong Yacht Club M4,20.0,40.0,20.0,10.0,40.0,26.0,50
