Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L1,3,3,0,11,8,1
Hong Kong Football Club L1,3,2,1,6,4,5
Kowloon Cricket Club L1B,3,1,2,5,4,5
Kowloon Cricket Club L1A,2,1,1,4,3,3
Hong Kong Cricket Club L1,3,0,3,2,2,7
