Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (16),Aw Adrian (9),Lau Kwai Hong (83.3%)
Hong Kong Cricket Club D7B,"Freeman Neil, Dickson Robert (15)","Dickson Robert, Hathiramani Sahil Ajit (8)",Montefiore Alexander (100.0%)
Hong Kong Football Club 7A,Yeung Yurisa (18),Yeung Yurisa (12),Wong Yu San (91.7%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (21),Li Samuel Kwok Sing (14),Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (15),Gibert Kai Shaun Otto (6),Gibert Kai Shaun Otto (66.7%)
Physical Chess 2,Dai Kwun San Harry (17),Wong Wai Lap (14),Lee Darren Ching Him (100.0%)
Social Squash Team,Adjemian Nicolas (14),"Catherine Loic, Toernell Henrik, Adjemian Nicolas (6)",Toernell Henrik (66.7%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (14)",Wong Hui Sing (9),Wong Hui Sing (64.3%)
UST,Wong Chi Hang Frankie (12),Wong Chi Hang Frankie (10),Wong Chi Hang Frankie (83.3%)
Xavier,"Chan Keiko Tsun Ling, Chan Ping Him Kevin (19)",Chan Keiko Tsun Ling (14),Chan Keiko Tsun Ling (73.7%)
i-Mask Advance Squash Club 1,Li Chi Hei (21),Li Chi Hei (18),Leung Ka Long (100.0%)
