Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (16),Tin Charlotte Pui Lam (15),Zheng Fiona Zixuan (100.0%)
Fusion Squash Club 4,Liu Riley (16),"Liu Riley, Kwok Anders Ka Chun (3)",Kwok Anders Ka Chun (50.0%)
Hong Kong Football Club 14,Wan Damien Tin Chun (17),Wan Damien Tin Chun (11),Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (19),Chen Peak Julian (6),Adjemian Antoine (38.5%)
North District Sports Association 2,Fung Yau On (19),Fung Yau On (14),Lee Yui Hin (100.0%)
Physical Chess 5,"Wong Ho Tong, Chan Chun Ho, Fung Tin Lok (14)","Chan Chun Ho, Tin Nok Lam (11)",Tin Nok Lam (84.6%)
RELAY 2,Cheng Nic (16),Chung Yui On Jake (11),Cheung Cheuk Wai (76.9%)
Royal Hong Kong Yacht Club Div 14,"Oei Chuen Shek Joseph, Lai Ming Wah (17)",Oei Chuen Shek Joseph (15),Chiu Sai Kwong (90.9%)
Squash-On,Lau Hayden (17),Huang Xin Min (7),Huang Xin Min (63.6%)
TKO Junior 1,Lee Man Yu (18),Jong Kwok Wai (13),Jong Kwok Wai (86.7%)
TNG 3,Kwan Yui Tang (16),Kwan Yui Tang (11),Leung Oson (71.4%)
The Squash Club 4,Chung Tsam Yee (20),Chung Tsam Yee (20),"Chung Tsam Yee, Hui Chi Hin (100.0%)"
