Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc
Hong Kong Football Club 1B,-33.33333333333334,33.33333333333333,66.66666666666666,22.222222222222207
Kowloon Cricket Club 1A,50.0,0.0,0.0,16.666666666666657
FWD,-25.0,25.0,-25.0,-8.333333333333329
Hong Kong Cricket Club 1,50.0,0.0,-75.0,-8.333333333333336
Kowloon Cricket Club 1B,-50.0,0.0,0.0,-16.666666666666668
Hong Kong Football Club 1A,33.33333333333334,-33.33333333333333,-66.66666666666666,-22.222222222222207
