Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,avg_win_perc
JESSICA Smashin' Mochi,50.0,100.0,100.0,83.33333333333333
i-Mask Advance Squash Club L4,0.0,100.0,50.0,50.0
Electrify Squash Ladies,33.33333333333333,33.33333333333333,50.0,38.888888888888886
Hong Kong Football Club JSA,50.0,-50.0,100.0,33.333333333333336
Hong Kong Cricket Club L4,0.0,0.0,33.33333333333333,11.1111111111111
JESSICA L4,0.0,-50.0,0.0,-16.66666666666667
Hong Kong Football Club L4,-33.33333333333333,-33.33333333333333,-66.66666666666666,-44.444444444444436
