Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club L1A,4,3,1,12,9,3
JESSICA L1,4,3,1,11,8,4
Kowloon Cricket Club L1B,4,2,2,8,6,6
Hong Kong Football Club L1,4,2,2,7,5,7
Hong Kong Cricket Club L1,4,0,4,2,2,10
