Team Name,Home,Average Home Score,Average Away Score,home_away_diff
SKCSC M4,Masters - Cornwall Street Squash Centre,4.625,2.5714285714285716,2.0535714285714284
United Services Recreation Club M4,United Services Recreation Club,3.625,1.8571428571428572,1.7678571428571428
Bolton,Masters - Harbour Road Sports Centre,2.6666666666666665,1.1428571428571428,1.5238095238095237
Royal Hong Kong Yacht Club M4,Royal Hong Kong Yacht Club,1.2222222222222223,0.3333333333333333,0.8888888888888891
WAKO,Masters - Harbour Road Sports Centre,3.5714285714285716,2.857142857142857,0.7142857142857144
Hong Kong Club Blue,The Hong Kong Club,1.625,1.0,0.625
Hong Kong Football Club M4B,Hong Kong Football Club,3.3333333333333335,2.75,0.5833333333333335
Kowloon Cricket Club M4,Kowloon Cricket Club,3.0,2.625,0.375
Hong Kong Football Club M4A,Hong Kong Football Club,3.2857142857142856,3.0,0.2857142857142856
Hong Kong Cricket Club M4,Hong Kong Cricket Club,2.5,2.5714285714285716,-0.07142857142857162
