Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
United Services Recreation Club 2,6,6,0,31,25,5
Kowloon Cricket Club 6B,6,6,0,31,25,5
Kowloon Cricket Club 6A,6,4,2,22,18,12
Hong Kong Cricket Club 4,6,3,3,20,17,13
Hong Kong Football Club 6A,6,3,3,17,14,16
Hong Kong Football Club 6B,6,3,3,17,14,16
Global Squash 1,6,2,4,12,10,20
Hong Kong Football Club 6C,6,1,5,12,11,19
Friend Club 3,6,1,5,10,9,21
Social Squash Team,6,1,5,8,7,23
