Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,6,6,0,21,15,3
Hong Kong Cricket Club 1,6,5,1,16,11,7
Hong Kong Football Club 1A,6,4,2,15,11,7
Hong Kong Football Club 1B,6,2,4,9,7,11
FWD,6,1,5,8,7,11
Kowloon Cricket Club 1B,6,0,6,3,3,15
