Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,5,3,2,14,11,4
Hong Kong Football Club M1A,5,4,1,12,8,7
Hong Kong Cricket Club M1B,4,2,2,7,5,7
Hong Kong Cricket Club M1A,5,1,4,6,5,10
Ladies Recreation Club M1,3,1,2,5,4,5
