Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L1,6,4,2,16,12,6
Kowloon Cricket Club L1B,6,4,2,14,10,8
Kowloon Cricket Club L1A,5,3,2,13,10,5
Hong Kong Football Club L1,4,2,2,7,5,7
Hong Kong Cricket Club L1,5,0,5,2,2,13
