Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M3A,7,6,1,31,25,10
United Services Recreation Club M3,6,5,1,28,23,7
Royal Hong Kong Yacht Club M3,6,4,2,25,21,9
Hong Kong Football Club M3B,6,4,2,24,20,10
Old Squash Fellows,7,3,4,20,17,18
Titlows Squash Team,7,1,6,10,9,26
Hong Kong Cricket Club M3,6,2,4,9,7,23
Kowloon Cricket Club M3,7,1,6,9,8,27
