Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Greenfield,8,7,1,36,29,11
TNG 1,7,6,1,33,27,8
Royal Hong Kong Yacht Club Div 13,7,6,1,31,25,10
TNG 2,7,6,1,30,24,11
North District Sports Association 2,8,4,4,23,19,21
Squashathon PLZ,7,3,4,22,19,16
Bravo D13,7,3,4,20,17,18
Arctic Circle,7,3,4,18,15,20
M&M Squash,7,2,5,14,12,23
Physical Chess 4,8,1,7,14,13,27
Vitality Squash 3,7,2,5,12,10,25
Star River 3,8,1,7,11,10,30
