Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club L3B,8,5,3,17,12,12
JESSICA L3,8,4,4,17,13,11
Hong Kong Football Club L3C,8,4,4,16,12,12
i-Mask Advance Squash Club L3,7,4,3,16,12,9
Hong Kong Cricket Club Rockettes,7,3,4,14,11,10
Hong Kong Football Club L3A,8,3,5,12,9,15
