Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 3,7,7,0,39,32,3
Ladies Recreation Club Div 8,7,6,1,29,23,12
Hong Kong Football Club 8,7,6,1,28,22,13
Squashathon Zero,7,3,4,22,19,16
Striving Squash,8,3,5,20,17,23
Physical Chess 3,7,3,4,19,16,19
TOMCAT,7,2,5,14,12,23
i-Mask Advance Squash Club 2,7,1,6,13,12,23
Kinetic 2,7,1,6,8,7,28
