Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,3,3,0,10,7,2
Hong Kong Cricket Club 1,3,3,0,9,6,3
Hong Kong Football Club 1A,3,2,1,7,5,4
FWD,3,1,2,6,5,4
Hong Kong Football Club 1B,3,0,3,3,3,6
Kowloon Cricket Club 1B,3,0,3,1,1,8
