Team,Played,Won,Lost,Points
The Squash Club 3,8,8,0,47
Craigengower Cricket Club,8,6,2,32
North District Sports Association 1,8,5,3,30
Arctic Circle,8,6,2,27
MM Squash,8,4,4,23
X-Alpha 5,8,3,5,20
Star River 2,8,3,5,19
Squashathon SocGen,8,1,7,12
Greenfield,8,0,8,5
