Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,8,8,0,27
Hong Kong Football Club M1B,7,5,2,19
Hong Kong Cricket Club M1A,7,3,4,16
Hong Kong Cricket Club M1B,7,1,6,7
Squashathon M+,7,1,6,3
