Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,12,12,0,60,48,12,0,0,0,0
United Services Recreation Club 2,12,9,3,49,40,20,0,0,0,0
Hong Kong Cricket Club 4,12,8,4,42,34,26,0,0,0,0
Kowloon Cricket Club 6A,12,6,6,39,33,27,0,0,0,0
Hong Kong Football Club 6B,12,6,6,35,29,31,0,0,0,0
Hong Kong Football Club 6C,12,5,7,34,29,31,0,0,0,0
Global Squash 1,12,6,6,32,26,34,0,0,0,0
Hong Kong Football Club 6A,12,5,7,31,26,34,0,0,0,0
Friend Club 3,12,2,10,23,21,39,0,0,0,0
Social Squash Team,12,1,11,15,14,46,0,0,0,0
