Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,12,11,1,56,45,15,0,1,0,0
X-Alpha 2,12,10,2,52,42,18,0,1,0,0
Physical Chess 1,12,10,2,48,38,22,0,3,0,0
Hong Kong Racketlon Association 1,12,7,5,42,35,25,0,0,0,0
Happy Squash 2,12,5,7,33,28,32,5,3,0,0
Uncle,12,5,7,32,27,33,0,1,0,1
Squashathon,12,5,7,31,27,33,0,2,1,0
The Squash Club 1,12,3,9,27,24,36,0,1,0,0
Hong Kong Football Club 5B,12,3,9,25,22,38,7,0,0,0
i-Mask Advance Squash Club 1,12,1,11,13,12,48,3,3,0,0
