Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Alpha CUHK,12,10,2,56,46,14,0,3,0,0
North District Sports Association 1,12,11,1,54,43,17,0,7,0,0
South China Athletic Association,12,10,2,52,42,18,0,5,0,0
Winter Warriors,12,8,4,51,43,17,4,2,0,1
Hong Kong Football Club 12A,12,9,3,44,35,25,0,4,0,0
Sea Bear,12,6,6,40,34,26,0,3,0,0
ZOMA,12,4,8,30,26,34,0,7,0,0
Star River 2,12,4,8,25,21,39,0,6,0,0
Hong Kong Racketlon Assoication 2,12,4,8,25,21,39,6,1,0,1
Hong Kong Football Club 12B,12,3,9,22,20,40,2,4,1,0
CSD Squash Team,12,2,10,19,18,42,18,0,1,0
Latecomers,12,1,11,12,11,49,13,1,0,0
