Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,12,11,1,55,45,15,0,6,0,0
Greenfield,12,9,3,50,41,19,0,7,0,0
Royal Hong Kong Yacht Club Div 13,12,9,3,48,39,21,0,4,0,0
TNG 2,12,9,3,46,39,21,3,5,1,0
Squashathon PLZ,12,6,6,41,35,25,0,4,0,0
Arctic Circle,12,6,6,38,32,28,5,3,0,0
North District Sports Association 2,12,6,6,35,29,31,0,1,0,0
Bravo D13,12,5,7,31,26,34,5,7,0,0
M&M Squash,12,4,8,23,21,39,0,0,1,0
Physical Chess 4,12,2,10,22,20,40,9,1,0,0
Vitality Squash 3,12,3,9,19,16,44,16,0,0,1
Star River 3,12,2,10,19,17,43,0,0,0,1
