Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,11,11,0,51,40,15,0,0,0,0
Kinetic 3,11,9,2,41,32,23,0,0,0,0
The Squash Club 3,11,6,5,36,30,25,0,0,0,0
BOSS,10,6,4,34,28,22,0,0,0,0
Tuen Mun Squash Club,11,6,5,34,28,27,0,0,0,0
Star River 1,12,5,7,34,29,31,0,0,0,0
HKCC Tuesday Night Rockers,11,5,6,33,28,27,0,0,0,0
Global Squash 2,11,5,6,32,27,28,0,0,0,0
i-Mask Advance Squash Club 4,11,4,7,28,24,31,0,0,0,0
7NT,10,2,8,22,20,30,0,0,0,0
Invader Squash,11,1,10,15,14,41,0,0,0,0
