Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
SKCSC M4,14,11,3,62,51,19,0,0,0,0
WAKO,14,11,3,58,47,23,0,1,0,0
Hong Kong Football Club M4A,14,10,4,55,45,25,0,0,0,0
Kowloon Cricket Club M4,14,8,6,47,39,31,0,0,0,0
Hong Kong Football Club M4B,14,8,6,46,38,32,0,2,0,0
Hong Kong Cricket Club M4,14,8,6,44,36,34,0,0,0,0
United Services Recreation Club M4,14,5,9,43,38,32,1,0,0,0
Bolton,14,3,11,24,21,49,2,0,0,0
Hong Kong Club Blue,14,3,11,23,20,50,0,0,0,0
Royal Hong Kong Yacht Club M4,14,3,11,18,15,55,0,0,0,0
