Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,14,13,1,71,58,12,0,8,0,0
Uncles,14,10,4,53,44,26,0,1,0,0
Hong Kong Football Club 6A,14,10,4,52,42,28,0,5,0,0
Kowloon Cricket Club 6A,14,9,5,50,41,29,2,1,0,0
Hong Kong Football Club 6B,14,8,6,44,36,34,0,0,0,0
Ladies Recreation Club Div 6,14,7,7,40,33,37,1,6,0,0
Hong Kong Football Club 6C,14,7,7,39,32,38,0,1,0,0
Fusion Squash Club 1,14,6,8,35,29,41,17,0,0,0
Global Squash 1,14,3,11,31,28,42,0,0,0,0
Electrify Squash Div 6,14,5,9,30,28,42,9,3,3,0
Hong Kong Cricket Club D6,14,3,11,29,26,44,0,4,0,0
X-Alpha 3,14,3,11,26,23,47,0,0,0,3
