Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 4,13,13,0,75,62,3,0,6,0,0
RELAY 1,13,11,2,59,48,17,0,1,0,0
Thunder 2,13,9,4,47,38,27,0,1,0,0
Kwai Tsing District Squash Club,13,7,6,42,35,30,0,0,0,0
Banbil,13,7,6,40,33,32,8,0,0,0
Hong Kong Cricket Club D10,12,7,5,39,32,28,1,1,0,0
United Services Recreation Club 3,13,6,7,39,33,32,0,0,0,0
Squashathon Advance,12,4,8,23,19,41,0,0,0,0
Mercury,12,3,9,23,20,40,0,0,0,0
i-Mask Advance Squash Club 4,13,2,11,20,18,47,1,0,0,0
Bravo D10,13,1,12,12,12,53,1,2,0,0
