Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,14,11,3,59,48,22,1,2,0,0
Kowloon Cricket Club 4,14,11,3,58,47,23,3,1,0,0
YLJR,14,10,4,56,46,24,1,1,0,0
TNGX,14,8,6,53,45,25,0,2,0,0
Sha Tin 1,14,9,5,48,40,30,0,0,0,1
Hong Kong Football Club 4B,14,7,7,40,33,37,2,0,0,0
Hong Kong Football Club 4A,14,6,8,36,31,39,1,0,1,0
Hong Kong Cricket Club D4A,14,4,10,27,23,47,1,3,0,0
The Squash Club 1,14,2,12,24,22,48,1,1,0,0
Hong Kong Cricket Club D4B,14,2,12,17,15,55,0,0,0,0
